time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T,H
16.0,2622.25,786.875,1410.125,3275.75,2672.5,3042.25,263.75,3755,3493.5,3708.125,35.97,44.08
16.1,2640.25,788.125,1410.25,3284.125,2682.625,3047.625,264.125,3762.875,3505.875,3714.75,36,44.19
16.2,2658.125,789.375,1410.25,3291.875,2692.375,3052.75,264.25,3770,3517.625,3721,36,44.21
16.3,2675.875,790.75,1410.25,3299.25,2701.5,3057.5,264.5,3776.625,3528.75,3726.875,35.99,44.27
16.4,2693.125,792,1410.375,3305.875,2709.875,3061.75,264.625,3782.625,3539.125,3732.25,35.97,44.32
16.5,2710.5,793.375,1410.375,3312.125,2717.75,3065.875,264.75,3788.125,3549.125,3737.375,36,44.35
16.6,2727.25,794.625,1410.5,3317.875,2725.125,3069.5,264.875,3793.125,3558.5,3742.125,36.02,44.46
16.7,2744.125,796,1410.5,3323.375,2732,3072.875,265.125,3797.75,3567.25,3746.625,36,44.43
16.8,2760.625,797.375,1410.5,3328.375,2738.375,3076.125,265.25,3802,3575.625,3750.875,35.99,44.53
16.9,2776.75,798.625,1410.625,3332.875,2744.25,3078.875,265.5,3805.875,3583.5,3754.75,35.97,44.54
17.0,2792.875,800,1410.625,3337.25,2749.5,3081.5,265.625,3809.5,3591,3758.375,35.99,44.63
17.1,2808.5,801.375,1410.75,3341.25,2754.5,3083.875,265.75,3812.875,3598,3761.875,35.99,44.6
17.2,2823.875,802.75,1410.75,3344.875,2759,3086,265.875,3815.875,3604.5,3765,35.97,44.66
17.3,2839,804.125,1410.875,3348.125,2763.125,3087.875,266.125,3818.625,3610.875,3767.875,35.99,44.69
17.4,2853.875,805.5,1410.875,3351.25,2766.75,3089.5,266.25,3821.25,3616.75,3770.625,36,44.75
17.5,2868.375,806.75,1411,3354,2770.125,3090.875,266.5,3823.5,3622.25,3773.125,36.02,44.78
17.6,2882.625,808.25,1411,3356.625,2773.125,3092.25,266.5,3825.5,3627.5,3775.5,35.99,44.81
17.7,2896.625,809.5,1411,3359,2775.625,3093.25,266.625,3827.5,3632.5,3777.75,36,44.81
17.8,2910.125,810.875,1411,3361.25,2777.875,3094.125,266.625,3829.125,3637.125,3779.75,35.99,44.86
17.9,2923.5,812.25,1411.125,3363.125,2779.75,3094.875,266.875,3830.75,3641.625,3781.625,35.97,44.84
18.0,2936.625,813.75,1411.125,3364.875,2781.375,3095.375,267,3832.125,3645.75,3783.375,35.99,44.92
18.1,2949.25,814.875,1411.25,3366.5,2782.625,3095.875,267.125,3833.5,3649.75,3784.875,36,44.92
18.2,2961.75,816.375,1411.25,3367.75,2783.625,3096,267.125,3834.625,3653.5,3786.125,36.02,44.92
18.3,2973.875,817.75,1411.25,3369.125,2784.25,3096.125,267.375,3835.75,3657,3787.375,36,44.99
18.4,2985.625,819,1411.375,3370.125,2784.75,3096.125,267.375,3836.625,3660.375,3788.5,36,45.01
18.5,2997.125,820.375,1411.375,3371,2785,3095.875,267.5,3837.375,3663.5,3789.5,36.02,45.03
18.6,3008.375,821.75,1411.375,3371.75,2785,3095.5,267.75,3838.125,3666.375,3790.5,35.99,45.04
18.7,3019.25,823.125,1411.5,3372.375,2784.75,3095.125,267.875,3838.75,3669.125,3791.375,36.02,45.11
18.8,3029.875,824.375,1411.625,3372.875,2784.375,3094.625,268,3839.25,3671.75,3792.125,35.99,45.11
18.9,3040.25,825.75,1411.625,3373.125,2783.75,3093.875,268,3839.75,3674.125,3792.75,36.02,45.11
19.0,3050.25,827.125,1411.625,3373.375,2782.875,3093,268.25,3840,3676.5,3793.25,36.02,45.18
19.1,3060,828.5,1411.625,3373.375,2781.75,3092.125,268.375,3840.375,3678.625,3793.625,36,45.18
19.2,3069.5,829.75,1411.75,3373.375,2780.5,3091.125,268.375,3840.5,3680.5,3794,36,45.18
19.3,3078.625,831.125,1411.75,3373.25,2779,3090,268.375,3840.625,3682.375,3794.25,36,45.19
19.4,3087.625,832.375,1411.875,3373,2777.375,3088.875,268.375,3840.75,3684,3794.375,36.02,45.24
19.5,3096.25,833.75,1411.875,3372.625,2775.5,3087.5,268.375,3840.75,3685.625,3794.5,36,45.29
19.6,3104.625,835,1411.875,3372.125,2773.5,3086.125,268.75,3840.625,3687.125,3794.375,36.02,45.22
19.7,3112.75,836.375,1412,3371.75,2771.375,3084.75,268.75,3840.5,3688.5,3794.375,36,45.29
